Entrada;Resultado PD;Tempo PD;Memoria PD (bytes);Resultado Guloso;Tempo Guloso;Memoria Guloso (bytes);
675;291;0,004626;1827932;-162;0,000009;36;
680;250;0,004991;1855072;-227;0,000010;36;
685;302;0,004960;1882412;-184;0,000008;36;
690;282;0,005372;1909952;-201;0,000008;36;
695;298;0,005275;1937692;-140;0,000009;36;
700;266;0,005153;1965632;-193;0,000009;36;
705;279;0,005741;1993772;-201;0,000008;36;
710;286;0,005462;2022112;-182;0,000009;36;
715;284;0,005548;2050652;-187;0,000010;36;
720;297;0,005346;2079392;-237;0,000008;36;
725;289;0,005334;2108332;-227;0,000008;36;
730;293;0,005539;2137472;-148;0,000009;36;
735;264;0,005848;2166812;-219;0,000009;36;
740;310;0,005892;2196352;-140;0,000009;36;
745;296;0,006090;2226092;-184;0,000009;36;
750;300;0,005932;2256032;-171;0,000009;36;
755;343;0,005973;2286172;-149;0,000009;36;
760;329;0,006233;2316512;-202;0,000009;36;
765;339;0,006390;2347052;-150;0,000009;36;
770;352;0,006244;2377792;-233;0,000009;36;
775;335;0,006586;2408732;-223;0,000009;36;
780;309;0,006576;2439872;-189;0,000009;36;
785;370;0,006772;2471212;-113;0,000012;36;
790;368;0,006875;2502752;-202;0,000010;36;
795;309;0,006913;2534492;-144;0,000010;36;
800;337;0,006746;2566432;-218;0,000009;36;
805;347;0,007100;2598572;-259;0,000010;36;
810;348;0,007291;2630912;-240;0,000010;36;
815;322;0,007055;2663452;-215;0,000009;36;
820;365;0,007309;2696192;-181;0,000010;36;
825;381;0,007176;2729132;-180;0,000010;36;
830;373;0,007292;2762272;-242;0,000010;36;
835;374;0,007850;2795612;-193;0,000010;36;
840;342;0,007600;2829152;-249;0,000010;36;
845;325;0,007946;2862892;-200;0,000009;36;
850;356;0,007720;2896832;-241;0,000010;36;
855;321;0,007815;2930972;-255;0,000010;36;
860;367;0,007573;2965312;-182;0,000010;36;
865;356;0,007803;2999852;-181;0,000011;36;
870;342;0,008102;3034592;-261;0,000013;36;
875;379;0,008073;3069532;-224;0,000011;36;
880;383;0,008097;3104672;-169;0,000010;36;
885;372;0,008684;3140012;-243;0,000011;36;
890;385;0,008267;3175552;-149;0,000011;36;
895;380;0,008858;3211292;-205;0,000011;36;
900;384;0,008451;3247232;-210;0,000011;36;
905;358;0,008570;3283372;-245;0,000011;36;
910;389;0,008997;3319712;-232;0,000011;36;
915;414;0,008985;3356252;-210;0,000011;36;
920;400;0,009153;3392992;-284;0,000011;36;
925;383;0,008960;3429932;-241;0,000011;36;
930;387;0,009206;3467072;-213;0,000012;36;
935;400;0,009241;3504412;-260;0,000016;36;
940;377;0,009524;3541952;-250;0,000012;36;
945;384;0,009560;3579692;-225;0,000012;36;
950;442;0,009674;3617632;-221;0,000011;36;
955;380;0,009460;3655772;-298;0,000012;36;
960;423;0,010061;3694112;-318;0,000011;36;
965;457;0,009884;3732652;-236;0,000012;36;
970;422;0,010245;3771392;-226;0,000012;36;
975;375;0,010295;3810332;-255;0,000011;36;
980;403;0,010301;3849472;-290;0,000011;36;
985;389;0,010177;3888812;-217;0,000012;36;
990;405;0,010271;3928352;-180;0,000011;36;
995;397;0,010510;3968092;-296;0,000012;36;
1000;425;0,010438;4008032;-211;0,000012;36;
1005;438;0,010930;4048172;-285;0,000012;36;
1010;412;0,010592;4088512;-284;0,000013;36;
1015;428;0,010890;4129052;-289;0,000012;36;
1020;459;0,011872;4169792;-231;0,000012;36;
1025;433;0,011430;4210732;-170;0,000012;36;
1030;434;0,011495;4251872;-301;0,000013;36;
1035;438;0,011622;4293212;-294;0,000012;36;
1040;439;0,011892;4334752;-251;0,000012;36;
1045;410;0,011966;4376492;-283;0,000013;36;
1050;441;0,011748;4418432;-300;0,000013;36;
1055;442;0,012300;4460572;-278;0,000012;36;
1060;446;0,012344;4502912;-259;0,000013;36;
1065;474;0,012410;4545452;-288;0,000013;36;
1070;484;0,012213;4588192;-254;0,000013;36;
1075;455;0,012080;4631132;-223;0,000013;36;
1080;435;0,012694;4674272;-261;0,000013;36;
1085;493;0,012575;4717612;-263;0,000013;36;
1090;461;0,012624;4761152;-274;0,000013;36;
1095;465;0,012882;4804892;-309;0,000013;36;
1100;430;0,013220;4848832;-257;0,000013;36;
1105;449;0,013119;4892972;-274;0,000013;36;
1110;459;0,013143;4937312;-333;0,000013;36;
1115;472;0,013432;4981852;-302;0,000014;36;
1120;479;0,013517;5026592;-238;0,000013;36;
1125;498;0,013243;5071532;-282;0,000014;36;
1130;463;0,013639;5116672;-323;0,000014;36;
1135;491;0,013579;5162012;-367;0,000013;36;
1140;477;0,013379;5207552;-243;0,000013;36;
1145;490;0,013676;5253292;-296;0,000014;36;
1150;509;0,014201;5299232;-331;0,000014;36;
1155;492;0,013897;5345372;-306;0,000013;36;
1160;469;0,014138;5391712;-326;0,000014;36;
1165;467;0,014398;5438252;-310;0,000014;36;
1170;528;0,014336;5484992;-261;0,000019;36;
1175;496;0,014676;5531932;-161;0,000014;36;
1180;494;0,014768;5579072;-298;0,000014;36;
1185;501;0,015208;5626412;-354;0,000013;36;
1190;514;0,014927;5673952;-305;0,000017;36;
1195;494;0,015026;5721692;-328;0,000014;36;
1200;498;0,015274;5769632;-387;0,000015;36;
1205;484;0,015416;5817772;-296;0,000015;36;
1210;518;0,015626;5866112;-259;0,000014;36;
1215;510;0,015609;5914652;-228;0,000014;36;
1220;514;0,015720;5963392;-365;0,000014;36;
1225;545;0,015795;6012332;-364;0,000014;36;
1230;561;0,016022;6061472;-252;0,000015;36;
1235;535;0,016034;6110812;-299;0,000015;36;
1240;566;0,016088;6160352;-343;0,000015;36;
1245;528;0,016019;6210092;-438;0,000015;36;
1250;532;0,016705;6260032;-299;0,000014;36;
1255;521;0,017194;6310172;-322;0,000015;36;
1260;525;0,017264;6360512;-378;0,000015;36;
1265;523;0,017210;6411052;-305;0,000015;36;
1270;500;0,017296;6461792;-319;0,000015;36;
1275;534;0,017399;6512732;-306;0,000015;36;
1280;547;0,017421;6563872;-344;0,000016;36;
1285;554;0,017592;6615212;-322;0,000016;36;
1290;516;0,017098;6666752;-288;0,000014;36;
1295;520;0,017377;6718492;-272;0,000015;36;
1300;548;0,017762;6770432;-337;0,000016;36;
1305;591;0,018177;6822572;-333;0,000016;36;
1310;550;0,018138;6874912;-257;0,000015;36;
1315;572;0,018437;6927452;-280;0,000016;36;
1320;537;0,018184;6980192;-330;0,000016;36;
1325;538;0,018366;7033132;-344;0,000015;36;
1330;551;0,018205;7086272;-370;0,000016;36;
1335;546;0,018333;7139612;-261;0,000016;36;
1340;535;0,018580;7193152;-362;0,000016;36;
1345;587;0,018700;7246892;-262;0,000016;36;
1350;570;0,018741;7300832;-330;0,000017;36;
1355;592;0,018899;7354972;-287;0,000017;36;
1360;587;0,019370;7409312;-376;0,000016;36;
1365;570;0,020352;7463852;-369;0,000016;36;
1370;607;0,020130;7518592;-353;0,000016;36;
1375;602;0,019872;7573532;-319;0,000016;36;
1380;573;0,019959;7628672;-324;0,000016;36;
1385;562;0,020499;7684012;-380;0,000016;36;
1390;632;0,021481;7739552;-304;0,000017;36;
1395;582;0,020880;7795292;-345;0,000016;36;
1400;583;0,021235;7851232;-404;0,000016;36;
1405;599;0,021343;7907372;-406;0,000017;36;
1410;582;0,021176;7963712;-399;0,000016;36;
1415;637;0,022009;8020252;-341;0,000017;36;
1420;620;0,022138;8076992;-247;0,000018;36;
1425;588;0,021546;8133932;-390;0,000017;36;
1430;616;0,021649;8191072;-332;0,000017;36;
1435;602;0,021341;8248412;-412;0,000017;36;
1440;630;0,022235;8305952;-396;0,000018;36;
1445;649;0,022488;8363692;-350;0,000017;36;
1450;626;0,022220;8421632;-403;0,000018;36;
1455;621;0,022432;8479772;-420;0,000018;36;
1460;640;0,022211;8538112;-371;0,000017;36;
1465;638;0,022201;8596652;-355;0,000017;36;
1470;657;0,022349;8655392;-411;0,000018;36;
1475;601;0,022373;8714332;-422;0,000017;36;
1480;662;0,023498;8773472;-346;0,000018;36;
1485;642;0,024202;8832812;-363;0,000018;36;
1490;619;0,023570;8892352;-350;0,000017;36;
1495;626;0,024166;8952092;-388;0,000018;36;
1500;657;0,024332;9012032;-378;0,000017;36;
1505;643;0,023442;9072172;-353;0,000017;36;
1510;641;0,023881;9132512;-331;0,000018;36;
1515;642;0,023969;9193052;-411;0,000018;36;
1520;679;0,025445;9253792;-269;0,000018;36;
1525;635;0,025532;9314732;-412;0,000018;36;
1530;612;0,024246;9375872;-405;0,000019;36;
1535;655;0,024322;9437212;-401;0,000019;36;
1540;662;0,024450;9498752;-280;0,000018;36;
1545;675;0,024798;9560492;-378;0,000018;36;
1550;676;0,025628;9622432;-395;0,000018;36;
1555;677;0,026182;9684572;-379;0,000018;36;
1560;657;0,025674;9746912;-414;0,000018;36;
1565;658;0,026247;9809452;-338;0,000019;36;
1570;698;0,025793;9872192;-370;0,000019;36;
1575;699;0,026015;9935132;-405;0,000019;36;
1580;664;0,026422;9998272;-356;0,000019;36;
1585;704;0,026797;10061612;-376;0,000018;36;
1590;654;0,026539;10125152;-318;0,000019;36;
1595;703;0,027473;10188892;-290;0,000019;36;
1600;683;0,027592;10252832;-436;0,000019;36;
1605;675;0,027155;10316972;-522;0,000018;36;
1610;706;0,027586;10381312;-467;0,000019;36;
1615;665;0,027213;10445852;-388;0,000019;36;
1620;735;0,027350;10510592;-429;0,000019;36;
1625;661;0,027575;10575532;-404;0,000019;36;
1630;749;0,027598;10640672;-421;0,000019;36;
1635;693;0,027802;10706012;-447;0,000019;36;
1640;691;0,028318;10771552;-368;0,000020;36;
1645;698;0,028487;10837292;-403;0,000019;36;
1650;711;0,028873;10903232;-471;0,000020;36;
1655;685;0,028365;10969372;-392;0,000020;36;
1660;731;0,029396;11035712;-358;0,000019;36;
1665;765;0,029722;11102252;-339;0,000019;36;
1670;676;0,029357;11168992;-428;0,000019;36;
1675;701;0,030065;11235932;-382;0,000020;36;
1680;690;0,029769;11303072;-432;0,000019;36;
1685;685;0,029838;11370412;-548;0,000019;36;
1690;680;0,029875;11437952;-289;0,000020;36;
1695;705;0,030706;11505692;-474;0,000019;36;
1700;700;0,030497;11573632;-470;0,000019;36;
1705;740;0,030428;11641772;-490;0,000020;36;
1710;759;0,030407;11710112;-366;0,000020;36;
1715;745;0,030878;11778652;-392;0,000020;36;
1720;737;0,031030;11847392;-415;0,000020;36;
1725;705;0,030942;11916332;-459;0,000020;36;
1730;745;0,031439;11985472;-416;0,000020;36;
1735;800;0,031264;12054812;-367;0,000021;36;
1740;747;0,031454;12124352;-363;0,000020;36;
1745;775;0,032106;12194092;-353;0,000027;36;
1750;731;0,032268;12264032;-436;0,000020;36;
1755;726;0,032809;12334172;-474;0,000021;36;
1760;739;0,032480;12404512;-365;0,000021;36;
1765;779;0,033007;12475052;-415;0,000020;36;
1770;744;0,033284;12545792;-570;0,000021;36;
1775;757;0,034045;12616732;-425;0,000022;36;
1780;770;0,033088;12687872;-502;0,000021;36;
1785;783;0,034098;12759212;-354;0,000021;36;
1790;793;0,033742;12830752;-485;0,000021;36;
1795;743;0,034025;12902492;-526;0,000021;36;
1800;762;0,034043;12974432;-483;0,000021;36;
1805;811;0,034158;13046572;-461;0,000021;36;
1810;782;0,034473;13118912;-529;0,000021;36;
1815;762;0,034390;13191452;-546;0,000021;36;
1820;829;0,035917;13264192;-530;0,000022;36;
1825;761;0,036189;13337132;-406;0,000022;36;
1830;774;0,036068;13410272;-423;0,000021;36;
1835;790;0,035785;13483612;-449;0,000021;36;
1840;791;0,035792;13557152;-436;0,000022;36;
1845;804;0,035852;13630892;-495;0,000021;36;
1850;790;0,037641;13704832;-440;0,000022;36;
1855;794;0,037121;13778972;-619;0,000021;36;
1860;795;0,036700;13853312;-354;0,000022;36;
1865;832;0,036460;13927852;-500;0,000022;36;
1870;767;0,037116;14002592;-475;0,000022;36;
1875;756;0,036974;14077532;-468;0,000022;36;
1880;793;0,037603;14152672;-458;0,000022;36;
1885;800;0,038262;14228012;-448;0,000022;36;
1890;825;0,038357;14303552;-528;0,000022;36;
1895;790;0,037614;14379292;-545;0,000022;36;
1900;812;0,038293;14455232;-688;0,000022;36;
1905;834;0,038144;14531372;-402;0,000023;36;
1910;823;0,038348;14607712;-569;0,000022;36;
1915;821;0,038695;14684252;-439;0,000023;36;
1920;816;0,038534;14760992;-525;0,000023;36;
1925;817;0,040166;14837932;-500;0,000022;36;
1930;821;0,038954;14915072;-574;0,000022;36;
1935;813;0,039799;14992412;-573;0,000023;36;
1940;823;0,042246;15069952;-509;0,000023;36;
1945;824;0,041130;15147692;-496;0,000023;36;
1950;882;0,041931;15225632;-414;0,000023;36;
1955;850;0,044221;15303772;-467;0,000024;36;
1960;908;0,041557;15382112;-400;0,000023;36;
1965;831;0,041280;15460652;-483;0,000023;36;
1970;868;0,043380;15539392;-527;0,000023;36;
1975;839;0,041465;15618332;-430;0,000024;36;
1980;858;0,041423;15697472;-489;0,000023;36;
1985;832;0,041970;15776812;-464;0,000023;36;
1990;848;0,043256;15856352;-427;0,000024;36;
1995;891;0,043732;15936092;-462;0,000024;36;
2000;841;0,042736;16016032;-491;0,000024;36;
2005;869;0,042962;16096172;-418;0,000024;36;
2010;888;0,042810;16176512;-558;0,000024;36;
2015;847;0,043721;16257052;-539;0,000023;36;
2020;833;0,043418;16337792;-511;0,000024;36;
2025;843;0,044763;16418732;-420;0,000023;36;
2030;865;0,044803;16499872;-446;0,000024;36;
2035;896;0,045079;16581212;-466;0,000024;36;
2040;912;0,044856;16662752;-501;0,000023;36;
2045;892;0,044140;16744492;-539;0,000024;36;
2050;890;0,044882;16826432;-487;0,000025;36;
2055;885;0,046181;16908572;-495;0,000024;36;
2060;901;0,045411;16990912;-536;0,000024;36;
2065;884;0,045052;17073452;-475;0,000029;36;
2070;933;0,046696;17156192;-549;0,000025;36;
2075;865;0,047311;17239132;-584;0,000025;36;
2080;887;0,048343;17322272;-568;0,000024;36;
2085;921;0,046427;17405612;-399;0,000024;36;
2090;952;0,047133;17489152;-479;0,000024;36;
2095;899;0,050148;17572892;-541;0,000026;36;
2100;891;0,049303;17656832;-525;0,000025;36;
2105;898;0,046663;17740972;-521;0,000024;36;
2110;896;0,047048;17825312;-508;0,000025;36;
2115;921;0,047286;17909852;-531;0,000025;36;
2120;931;0,047835;17994592;-503;0,000025;36;
2125;932;0,047980;18079532;-511;0,000025;36;
2130;918;0,047692;18164672;-453;0,000026;36;
2135;943;0,048015;18250012;-527;0,000025;36;
2140;956;0,049769;18335552;-469;0,000025;36;
2145;921;0,048722;18421292;-444;0,000025;36;
2150;958;0,049959;18507232;-575;0,000025;36;
2155;938;0,049014;18593372;-436;0,000025;36;
2160;903;0,050201;18679712;-477;0,000026;36;
2165;946;0,049275;18766252;-527;0,000025;36;
2170;947;0,049214;18852992;-469;0,000026;36;
2175;966;0,049751;18939932;-540;0,000025;36;
2180;931;0,050772;19027072;-560;0,000025;36;
2185;938;0,050443;19114412;-553;0,000025;36;
2190;969;0,050621;19201952;-603;0,000026;36;
2195;985;0,051017;19289692;-509;0,000026;36;
2200;965;0,051016;19377632;-508;0,000025;36;
2205;993;0,051381;19465772;-462;0,000026;36;
2210;955;0,051903;19554112;-572;0,000026;36;
2215;905;0,052121;19642652;-550;0,000026;36;
2220;951;0,051576;19731392;-390;0,000026;36;
2225;970;0,052703;19820332;-491;0,000026;36;
2230;962;0,052039;19909472;-541;0,000026;36;
2235;933;0,052371;19998812;-519;0,000026;36;
2240;994;0,053436;20088352;-608;0,000026;36;
2245;926;0,052750;20178092;-502;0,000027;36;
2250;957;0,053174;20268032;-522;0,000026;36;
2255;985;0,054136;20358172;-587;0,000027;36;
2260;995;0,054110;20448512;-664;0,000027;36;
2265;960;0,055136;20539052;-591;0,000026;36;
2270;946;0,054483;20629792;-560;0,000026;36;
2275;968;0,054770;20720732;-586;0,000027;36;
2280;1008;0,054911;20811872;-693;0,000027;36;
2285;970;0,056512;20903212;-596;0,000027;36;
2290;1007;0,055408;20994752;-658;0,000027;36;
2295;960;0,055428;21086492;-603;0,000028;36;
2300;1000;0,056047;21178432;-611;0,000027;36;
2305;956;0,056200;21270572;-589;0,000027;36;
2310;942;0,058165;21362912;-681;0,000027;36;
2315;1039;0,056617;21455452;-596;0,000027;36;
2320;998;0,056397;21548192;-664;0,000026;36;
2325;996;0,057075;21641132;-507;0,000028;36;
2330;982;0,057066;21734272;-587;0,000027;36;
2335;1034;0,057065;21827612;-514;0,000027;36;
2340;993;0,057577;21921152;-567;0,000027;36;
2345;1039;0,057963;22014892;-512;0,000027;36;
2350;1043;0,058121;22108832;-445;0,000028;36;
2355;1014;0,057944;22202972;-606;0,000027;36;
2360;1000;0,059712;22297312;-638;0,000028;36;
2365;1064;0,058793;22391852;-661;0,000031;36;
2370;1059;0,058768;22486592;-504;0,000028;36;
2375;997;0,059645;22581532;-626;0,000028;36;
2380;1058;0,059853;22676672;-562;0,000028;36;
2385;1017;0,060597;22772012;-660;0,000027;36;
2390;1027;0,060261;22867552;-680;0,000028;36;
2395;1046;0,060124;22963292;-643;0,000027;36;
2400;1074;0,060425;23059232;-630;0,000028;36;
2405;1036;0,061303;23155372;-581;0,000028;36;
2410;1049;0,061955;23251712;-652;0,000028;36;
2415;1035;0,061136;23348252;-657;0,000028;36;
2420;1042;0,061421;23444992;-554;0,000028;36;
2425;1004;0,062971;23541932;-664;0,000028;36;
2430;1017;0,062836;23639072;-693;0,000028;36;
2435;1075;0,062995;23736412;-647;0,000029;36;
2440;1052;0,065103;23833952;-565;0,000029;36;
2445;1032;0,063962;23931692;-516;0,000033;36;
2450;1078;0,064438;24029632;-614;0,000028;36;
2455;1091;0,064668;24127772;-556;0,000030;36;
2460;1092;0,064179;24226112;-687;0,000028;36;
2465;1084;0,064903;24324652;-593;0,000028;36;
2470;1040;0,064498;24423392;-643;0,000028;36;
2475;1029;0,066696;24522332;-513;0,000028;36;
2480;1063;0,065379;24621472;-686;0,000028;36;
2485;1088;0,066249;24720812;-517;0,000029;36;
2490;1074;0,065503;24820352;-501;0,000029;36;
2495;1069;0,065980;24920092;-533;0,000029;36;
2500;1070;0,066348;25020032;-601;0,000029;36;
2505;1113;0,066942;25120172;-624;0,000029;36;
2510;1096;0,069302;25220512;-692;0,000033;36;
2515;1097;0,068369;25321052;-613;0,000029;36;
2520;1068;0,068076;25421792;-618;0,000029;36;
2525;1147;0,067384;25522732;-548;0,000029;36;
2530;1076;0,068864;25623872;-592;0,000030;36;
2535;1101;0,068420;25725212;-558;0,000029;36;
2540;1087;0,068587;25826752;-614;0,000030;36;
2545;1097;0,068371;25928492;-607;0,000030;36;
2550;1107;0,068441;26030432;-621;0,000030;36;
2555;1093;0,070180;26132572;-701;0,000030;36;
2560;1148;0,070327;26234912;-583;0,000030;36;
2565;1137;0,069651;26337452;-612;0,000030;36;
2570;1132;0,070522;26440192;-599;0,000030;36;
2575;1097;0,070945;26543132;-583;0,000030;36;
2580;1167;0,070931;26646272;-654;0,000030;36;
2585;1093;0,071646;26749612;-632;0,000035;36;
2590;1127;0,071081;26853152;-625;0,000034;36;
2595;1122;0,071723;26956892;-720;0,000030;36;
2600;1099;0,071272;27060832;-605;0,000030;36;
2605;1142;0,072102;27164972;-574;0,000030;36;
2610;1095;0,072301;27269312;-669;0,000030;36;
2615;1102;0,072666;27373852;-620;0,000030;36;
2620;1178;0,072192;27478592;-604;0,000030;36;
2625;1101;0,072475;27583532;-639;0,000031;36;
2630;1147;0,073411;27688672;-698;0,000030;36;
2635;1172;0,074024;27794012;-742;0,000031;36;
2640;1176;0,074523;27899552;-714;0,000031;36;
2645;1159;0,073948;28005292;-740;0,000030;36;
2650;1151;0,073864;28111232;-724;0,000030;36;
2655;1149;0,074039;28217372;-591;0,000031;36;
2660;1165;0,075127;28323712;-818;0,000031;36;
2665;1148;0,075619;28430252;-748;0,000030;36;
2670;1131;0,076556;28536992;-828;0,000031;36;
2675;1180;0,076479;28643932;-665;0,000031;36;
2680;1154;0,077352;28751072;-634;0,000032;36;
2685;1212;0,076796;28858412;-726;0,000031;36;
2690;1192;0,077305;28965952;-728;0,000031;36;
2695;1211;0,077412;29073692;-646;0,000032;36;
2700;1158;0,078598;29181632;-663;0,000032;36;
2705;1216;0,078489;29289772;-605;0,000032;36;
2710;1175;0,078212;29398112;-673;0,000032;36;
2715;1149;0,079006;29506652;-597;0,000031;36;
2720;1159;0,078347;29615392;-686;0,000032;36;
2725;1157;0,079115;29724332;-703;0,000032;36;
2730;1167;0,079490;29833472;-813;0,000031;36;
2735;1144;0,079259;29942812;-695;0,000032;36;
2740;1223;0,079716;30052352;-547;0,000032;36;
2745;1200;0,080299;30162092;-783;0,000031;36;
2750;1192;0,080208;30272032;-677;0,000032;36;
2755;1166;0,080907;30382172;-775;0,000032;36;
2760;1221;0,080902;30492512;-855;0,000032;36;
2765;1210;0,081577;30603052;-710;0,000032;36;
2770;1193;0,082108;30713792;-730;0,000032;36;
2775;1224;0,081609;30824732;-792;0,000032;36;
2780;1186;0,082154;30935872;-644;0,000035;36;
2785;1208;0,082604;31047212;-694;0,000032;36;
2790;1203;0,083783;31158752;-783;0,000033;36;
2795;1204;0,084676;31270492;-701;0,000033;36;
2800;1166;0,084188;31382432;-757;0,000032;36;
2805;1242;0,086469;31494572;-762;0,000032;36;
2810;1273;0,088099;31606912;-521;0,000034;36;
2815;1280;0,085851;31719452;-721;0,000032;36;
